id_bb_global,id_isin,id_cusip,id_sedol1,ticker,name,exch_code,issuer,market_sector_des
BBG000062VS4,US90390KAB08,90390KAB0,BDCWS22,ED5113722,US CAPITAL FUNDING II,DUBLIN,US CAPITAL FUNDING II,Corp
BBG000066WJ8,USG9300FAB34,ED5113805,B01XSW5,ED5113805,US CAPITAL FUNDING II,DUBLIN,US CAPITAL FUNDING II,Corp
BBG00006BJL8,US90390KAC80,90390KAC8, ,ED5113961,US CAPITAL FUNDING II,DUBLIN,US CAPITAL FUNDING II,Corp
BBG00006GYB1,USG9300FAC17,ED5114167,B01XSY7,ED5114167,US CAPITAL FUNDING II,DUBLIN,US CAPITAL FUNDING II,Corp
BBG00006LMJ3,US90390KAD63,90390KAD6, ,ED5114324,US CAPITAL FUNDING II,TRACE,US CAPITAL FUNDING II,Corp
BBG00006P436,USG9300FAD99,ED5114449,B01XT00,ED5114449,US CAPITAL FUNDING II,DUBLIN,US CAPITAL FUNDING II,Corp
BBG00000HW72,PEP70600M028,ED5954729,B7FTQ02,ED5954729,TRANSPORTADORA DE GAS PE,LIMA,TRANSPORTADORA DE GAS PE,Corp
BBG00009CBX5,US74041CAA71,74041CAA7,B0322L7,ED6118746,PREFERRED TERM SECS XV,TRACE,PREFERRED TERM SECS XV,Corp
BBG00009CBY4,USG7220JAA81,ED6118787,B0304B5,ED6118787,PREFERRED TERM SECS XV,DUBLIN,PREFERRED TERM SECS XV,Corp
BBG00001NFR8,US74041CAB54,74041CAB5,BYVGQC8,ED6118860,PREFERRED TERM SECS XV,NOT LISTED,PREFERRED TERM SECS XV,Corp
BBG00009CC09,USG7220JAB64,ED6118902,B0304C6,ED6118902,PREFERRED TERM SECS XV,DUBLIN,PREFERRED TERM SECS XV,Corp
BBG00000DPL5,US74041CAC38,74041CAC3, ,ED6119074,PREFERRED TERM SECS XV,NOT LISTED,PREFERRED TERM SECS XV,Corp
